Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,30,0,GLY,1.82,20
1,0,A2,30,0,GLY,1.82,20
2,0,A3,30,0,GLY,1.82,20
3,0,A4,30,0,GLY,1.82,20
4,0,A5,30,0,GLY,1.82,20
5,0,A6,30,0,GLY,1.82,20
6,0,A7,30,0,GLY,1.82,20
7,0,A8,30,0,GLY,1.82,20
8,0,A9,30,0,GLY,1.82,20
9,0,A10,30,0,GLY,1.82,20
10,0,A11,30,0,GLY,1.82,20
11,0,A12,30,0,GLY,1.82,20
0,1,B1,30,0,GLY,1.82,20
1,1,B2,30,0,GLY,1.82,20
2,1,B3,30,0,GLY,1.82,20
3,1,B4,30,0,GLY,1.82,20
4,1,B5,30,0,GLY,1.82,20
5,1,B6,30,0,GLY,1.82,20
6,1,B7,30,0,GLY,1.82,20
7,1,B8,30,0,GLY,1.82,20
8,1,B9,30,0,GLY,1.82,20
9,1,B10,30,0,GLY,1.82,20
10,1,B11,30,0,GLY,1.82,20
11,1,B12,30,0,GLY,1.82,20
0,2,C1,30,0,GLY,1.82,20
1,2,C2,30,0,GLY,1.82,20
2,2,C3,30,0,GLY,1.82,20
3,2,C4,30,0,GLY,1.82,20
4,2,C5,30,0,GLY,1.82,20
5,2,C6,30,0,GLY,1.82,20
6,2,C7,30,0,GLY,1.82,20
7,2,C8,30,0,GLY,1.82,20
8,2,C9,30,0,GLY,1.82,20
9,2,C10,30,0,GLY,1.82,20
10,2,C11,30,0,GLY,1.82,20
11,2,C12,30,0,GLY,1.82,20
0,3,D1,30,0,GLY,1.82,20
1,3,D2,30,0,GLY,1.82,20
2,3,D3,30,0,GLY,1.82,20
3,3,D4,30,0,GLY,1.82,20
4,3,D5,30,0,GLY,1.82,20
5,3,D6,30,0,GLY,1.82,20
6,3,D7,30,0,GLY,1.82,20
7,3,D8,30,0,GLY,1.82,20
8,3,D9,30,0,GLY,1.82,20
9,3,D10,30,0,GLY,1.82,20
10,3,D11,30,0,GLY,1.82,20
11,3,D12,30,0,GLY,1.82,20
0,4,E1,30,0,GLY,1.82,20
1,4,E2,30,0,GLY,1.82,20
2,4,E3,30,0,GLY,1.82,20
3,4,E4,30,0,GLY,1.82,20
4,4,E5,30,0,GLY,1.82,20
5,4,E6,30,0,GLY,1.82,20
6,4,E7,30,0,GLY,1.82,20
7,4,E8,30,0,GLY,1.82,20
8,4,E9,30,0,GLY,1.82,20
9,4,E10,30,0,GLY,1.82,20
10,4,E11,30,0,GLY,1.82,20
11,4,E12,30,0,GLY,1.82,20
0,5,F1,30,0,GLY,1.82,20
1,5,F2,30,0,GLY,1.82,20
2,5,F3,30,0,GLY,1.82,20
3,5,F4,30,0,GLY,1.82,20
4,5,F5,30,0,GLY,1.82,20
5,5,F6,30,0,GLY,1.82,20
6,5,F7,30,0,GLY,1.82,20
7,5,F8,30,0,GLY,1.82,20
8,5,F9,30,0,GLY,1.82,20
9,5,F10,30,0,GLY,1.82,20
10,5,F11,30,0,GLY,1.82,20
11,5,F12,30,0,GLY,1.82,20
0,6,G1,30,0,GLY,1.82,20
1,6,G2,30,0,GLY,1.82,20
2,6,G3,30,0,GLY,1.82,20
3,6,G4,30,0,GLY,1.82,20
4,6,G5,30,0,GLY,1.82,20
5,6,G6,30,0,GLY,1.82,20
6,6,G7,30,0,GLY,1.82,20
7,6,G8,30,0,GLY,1.82,20
8,6,G9,30,0,GLY,1.82,20
9,6,G10,30,0,GLY,1.82,20
10,6,G11,30,0,GLY,1.82,20
11,6,G12,30,0,GLY,1.82,20
0,7,H1,30,0,GLY,1.82,20
1,7,H2,30,0,GLY,1.82,20
2,7,H3,30,0,GLY,1.82,20
3,7,H4,30,0,GLY,1.82,20
4,7,H5,30,0,GLY,1.82,20
5,7,H6,30,0,GLY,1.82,20
6,7,H7,30,0,GLY,1.82,20
7,7,H8,30,0,GLY,1.82,20
8,7,H9,30,0,GLY,1.82,20
9,7,H10,30,0,GLY,1.82,20
10,7,H11,30,0,GLY,1.82,20
11,7,H12,30,0,GLY,1.82,20
