Col,Row,Well,mConc,mFillHeight,mFluid,mImpedance,mVolume
0,0,A1,40,0,GLY,1.93,30
1,0,A2,40,0,GLY,1.93,30
2,0,A3,40,0,GLY,1.93,30
3,0,A4,40,0,GLY,1.93,30
4,0,A5,40,0,GLY,1.93,30
5,0,A6,40,0,GLY,1.93,30
6,0,A7,40,0,GLY,1.93,30
7,0,A8,40,0,GLY,1.93,30
8,0,A9,40,0,GLY,1.93,30
9,0,A10,40,0,GLY,1.93,30
10,0,A11,40,0,GLY,1.93,30
11,0,A12,40,0,GLY,1.93,30
12,0,A13,40,0,GLY,1.93,30
13,0,A14,40,0,GLY,1.93,30
14,0,A15,40,0,GLY,1.93,30
15,0,A16,40,0,GLY,1.93,30
16,0,A17,40,0,GLY,1.93,30
17,0,A18,40,0,GLY,1.93,30
18,0,A19,40,0,GLY,1.93,30
19,0,A20,40,0,GLY,1.93,30
20,0,A21,40,0,GLY,1.93,30
21,0,A22,40,0,GLY,1.93,30
22,0,A23,40,0,GLY,1.93,30
23,0,A24,40,0,GLY,1.93,30
0,1,B1,40,0,GLY,1.93,30
1,1,B2,40,0,GLY,1.93,30
2,1,B3,40,0,GLY,1.93,30
3,1,B4,40,0,GLY,1.93,30
4,1,B5,40,0,GLY,1.93,30
5,1,B6,40,0,GLY,1.93,30
6,1,B7,40,0,GLY,1.93,30
7,1,B8,40,0,GLY,1.93,30
8,1,B9,40,0,GLY,1.93,30
9,1,B10,40,0,GLY,1.93,30
10,1,B11,40,0,GLY,1.93,30
11,1,B12,40,0,GLY,1.93,30
12,1,B13,40,0,GLY,1.93,30
13,1,B14,40,0,GLY,1.93,30
14,1,B15,40,0,GLY,1.93,30
15,1,B16,40,0,GLY,1.93,30
16,1,B17,40,0,GLY,1.93,30
17,1,B18,40,0,GLY,1.93,30
18,1,B19,40,0,GLY,1.93,30
19,1,B20,40,0,GLY,1.93,30
20,1,B21,40,0,GLY,1.93,30
21,1,B22,40,0,GLY,1.93,30
22,1,B23,40,0,GLY,1.93,30
23,1,B24,40,0,GLY,1.93,30
0,2,C1,40,0,GLY,1.93,30
1,2,C2,40,0,GLY,1.93,30
2,2,C3,40,0,GLY,1.93,30
3,2,C4,40,0,GLY,1.93,30
4,2,C5,40,0,GLY,1.93,30
5,2,C6,40,0,GLY,1.93,30
6,2,C7,40,0,GLY,1.93,30
7,2,C8,40,0,GLY,1.93,30
8,2,C9,40,0,GLY,1.93,30
9,2,C10,40,0,GLY,1.93,30
10,2,C11,40,0,GLY,1.93,30
11,2,C12,40,0,GLY,1.93,30
12,2,C13,40,0,GLY,1.93,30
13,2,C14,40,0,GLY,1.93,30
14,2,C15,40,0,GLY,1.93,30
15,2,C16,40,0,GLY,1.93,30
16,2,C17,40,0,GLY,1.93,30
17,2,C18,40,0,GLY,1.93,30
18,2,C19,40,0,GLY,1.93,30
19,2,C20,40,0,GLY,1.93,30
20,2,C21,40,0,GLY,1.93,30
21,2,C22,40,0,GLY,1.93,30
22,2,C23,40,0,GLY,1.93,30
23,2,C24,40,0,GLY,1.93,30
0,3,D1,40,0,GLY,1.93,30
1,3,D2,40,0,GLY,1.93,30
2,3,D3,40,0,GLY,1.93,30
3,3,D4,40,0,GLY,1.93,30
4,3,D5,40,0,GLY,1.93,30
5,3,D6,40,0,GLY,1.93,30
6,3,D7,40,0,GLY,1.93,30
7,3,D8,40,0,GLY,1.93,30
8,3,D9,40,0,GLY,1.93,30
9,3,D10,40,0,GLY,1.93,30
10,3,D11,40,0,GLY,1.93,30
11,3,D12,40,0,GLY,1.93,30
12,3,D13,40,0,GLY,1.93,30
13,3,D14,40,0,GLY,1.93,30
14,3,D15,40,0,GLY,1.93,30
15,3,D16,40,0,GLY,1.93,30
16,3,D17,40,0,GLY,1.93,30
17,3,D18,40,0,GLY,1.93,30
18,3,D19,40,0,GLY,1.93,30
19,3,D20,40,0,GLY,1.93,30
20,3,D21,40,0,GLY,1.93,30
21,3,D22,40,0,GLY,1.93,30
22,3,D23,40,0,GLY,1.93,30
23,3,D24,40,0,GLY,1.93,30
0,4,E1,40,0,GLY,1.93,30
1,4,E2,40,0,GLY,1.93,30
2,4,E3,40,0,GLY,1.93,30
3,4,E4,40,0,GLY,1.93,30
4,4,E5,40,0,GLY,1.93,30
5,4,E6,40,0,GLY,1.93,30
6,4,E7,40,0,GLY,1.93,30
7,4,E8,40,0,GLY,1.93,30
8,4,E9,40,0,GLY,1.93,30
9,4,E10,40,0,GLY,1.93,30
10,4,E11,40,0,GLY,1.93,30
11,4,E12,40,0,GLY,1.93,30
12,4,E13,40,0,GLY,1.93,30
13,4,E14,40,0,GLY,1.93,30
14,4,E15,40,0,GLY,1.93,30
15,4,E16,40,0,GLY,1.93,30
16,4,E17,40,0,GLY,1.93,30
17,4,E18,40,0,GLY,1.93,30
18,4,E19,40,0,GLY,1.93,30
19,4,E20,40,0,GLY,1.93,30
20,4,E21,40,0,GLY,1.93,30
21,4,E22,40,0,GLY,1.93,30
22,4,E23,40,0,GLY,1.93,30
23,4,E24,40,0,GLY,1.93,30
0,5,F1,40,0,GLY,1.93,30
1,5,F2,40,0,GLY,1.93,30
2,5,F3,40,0,GLY,1.93,30
3,5,F4,40,0,GLY,1.93,30
4,5,F5,40,0,GLY,1.93,30
5,5,F6,40,0,GLY,1.93,30
6,5,F7,40,0,GLY,1.93,30
7,5,F8,40,0,GLY,1.93,30
8,5,F9,40,0,GLY,1.93,30
9,5,F10,40,0,GLY,1.93,30
10,5,F11,40,0,GLY,1.93,30
11,5,F12,40,0,GLY,1.93,30
12,5,F13,40,0,GLY,1.93,30
13,5,F14,40,0,GLY,1.93,30
14,5,F15,40,0,GLY,1.93,30
15,5,F16,40,0,GLY,1.93,30
16,5,F17,40,0,GLY,1.93,30
17,5,F18,40,0,GLY,1.93,30
18,5,F19,40,0,GLY,1.93,30
19,5,F20,40,0,GLY,1.93,30
20,5,F21,40,0,GLY,1.93,30
21,5,F22,40,0,GLY,1.93,30
22,5,F23,40,0,GLY,1.93,30
23,5,F24,40,0,GLY,1.93,30
0,6,G1,40,0,GLY,1.93,30
1,6,G2,40,0,GLY,1.93,30
2,6,G3,40,0,GLY,1.93,30
3,6,G4,40,0,GLY,1.93,30
4,6,G5,40,0,GLY,1.93,30
